Run;Initial_wl_nm;Absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out
0;380;0.005987017100855102;[0.075, 0.00410393914166122, 0.07660527010140272];5.213239662822225;0.7916489731264675;412.0367646617399;[0.0660091692948929, 0.005, 0.08360945090949033];[];False;2;;[0.075, 0.075, 0.075, 0.0709470486925942, 0.0660091692948929];[0.005, 0.0, 0.00410393914166122, 0.0, 0.005];[0.075, 0.07588163490354231, 0.07660527010140272, 0.07976266508464049, 0.08360945090949033];5.223251726650132e-11;False
1;380;0.0013606004740148998;[0.075, 0.0013399298955619598, 0.07564536911069687];6.120523450810698;0.46041480482346925;464.8436421268753;[];[0.11200131151405698, 0.0014062694617969474, 0.14756782216645398];False;15;0.23373679830588984;[0.075, 0.075, 0.07229834052992816, 0.06221699418852579, 0.05213564784712342, 0.04205430150572105, 0.04201480493582207, 0.03197295516431868, 0.02189160882291631, 0.011810262481513943, 0.0017289161401115756, 0.0, 0.0020919669192053466, 0.008352430201290794, 0.01843377654269316, 0.02851512288409553, 0.0385964692254979, 0.046198738774232764, 0.04867781556690027, 0.05875916190830264, 0.068840508249705, 0.07892185459110737, 0.08900320093250974, 0.09030551062926018, 0.09908454727391211, 0.10916589361531448, 0.11200131151405698];[0.005, 0.0013399298955619598, 0.0, 0.005, 0.0, 0.005, 0.004980411063879049, 0.0, 0.005, 0.0, 0.005, 0.004142517238490651, 0.0031049738150423388, 0.0, 0.005, 0.0, 0.005, 0.0012295365662056273, 0.0, 0.005, 0.0, 0.005, 0.0, 0.0006459006826310837, 0.005, 0.0, 0.0014062694617969474];[0.075, 0.07564536911069687, 0.09402118323025072, 0.16259124118782442, 0.23116129914539812, 0.29973135710297183, 0.3, 0.23169858493945444, 0.16312852698188074, 0.09455846902430703, 0.02598841106673333, 0.014228882535870045, 0.0, 0.04258164689084038, 0.11115170484841408, 0.17972176280598778, 0.2482918207635615, 0.3, 0.2831381212788648, 0.21456806332129108, 0.14599800536371738, 0.07742794740614367, 0.008857889448569967, 0.0, 0.05971216850900374, 0.12828222646657744, 0.14756782216645398];2.731877131520106e-09;False
2;380;0.004603437254525261;[0.075, 0.004533500698761712, 0.07508225641328996];3.736666695981344;-0.5157268775811436;421.69799427278133;[];[0.18805262401909414, 0.0005847845345637413, 0.15181591524128957];True;33;0.2683799504570655;[0.075, 0.075, 0.07417710721182508, 0.0653572356065449, 0.05653736400126472, 0.04771749239598454, 0.03889762079070436, 0.03078523572011261, 0.030077749185424177, 0.021257877580143997, 0.012438005974863818, 0.00361813436958364, 0.0, 0.005201737235696538, 0.014021608840976717, 0.022841480446256897, 0.03166135205153708, 0.04048122365681726, 0.04930109526209744, 0.05812096686737762, 0.06694083847265779, 0.07576071007793797, 0.08458058168321815, 0.09340045328849833, 0.10222032489377851, 0.11104019649905869, 0.11986006810433887, 0.12867993970961905, 0.13749981131489922, 0.14588006334804832, 0.1463196829201794, 0.15513955452545958, 0.16395942613073974, 0.1727792977360199, 0.18159916934130008, 0.19041904094658024, 0.1992389125518604, 0.20805878415714057, 0.21687865576242074, 0.2256985273677009, 0.23451839897298107, 0.24333827057826124, 0.25215814218354143, 0.26097801378882163, 0.2697978853941018, 0.278617756999382, 0.2874376286046622, 0.2962575002099424, 0.3, 0.2949226281847774, 0.2861027565794972, 0.27745463758379074, 0.27728288497421705, 0.26846301336893685, 0.25964314176365666, 0.25082327015837647, 0.2420033985530963, 0.23318352694781613, 0.22436365534253597, 0.2155437837372558, 0.20672391213197563, 0.19790404052669547, 0.1890841689214153, 0.18805262401909414];[0.005, 0.004533500698761712, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0004010753026522989, 0.0, 0.005, 0.0, 0.005, 0.0029488735598953747, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.00024922107248585585, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.002878370594523696, 0.0, 0.005, 9.736684231939283e-05, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.0005847845345637413];[0.075, 0.07508225641328996, 0.073684880484035, 0.05870762408144521, 0.04373036767885542, 0.02875311127626563, 0.013775854873675837, 0.0, 0.0012014015289139566, 0.016178657931503748, 0.03115591433409354, 0.046133170736683334, 0.05227722005819897, 0.06111042713927312, 0.07608768354186292, 0.09106493994445271, 0.1060421963470425, 0.12101945274963229, 0.1359967091522221, 0.15097396555481188, 0.16595122195740167, 0.18092847835999146, 0.19590573476258125, 0.21088299116517104, 0.22586024756776082, 0.2408375039703506, 0.25581476037294043, 0.2707920167755302, 0.28576927317812, 0.3, 0.2992534704192902, 0.2842762140167004, 0.2692989576141106, 0.2543217012115208, 0.23934444480893102, 0.22436718840634123, 0.20938993200375144, 0.19441267560116166, 0.17943541919857187, 0.16445816279598208, 0.1494809063933923, 0.1345036499908025, 0.11952639358821271, 0.10454913718562292, 0.08957188078303313, 0.07459462438044334, 0.05961736797785355, 0.04464011157526376, 0.038284874055845214, 0.02966285517267397, 0.014685598770084178, 0.0, 0.0002916576325056154, 0.015268914035095407, 0.0302461704376852, 0.04522342684027499, 0.06020068324286479, 0.07517793964545458, 0.09015519604804437, 0.10513245245063416, 0.12010970885322395, 0.13508696525581373, 0.15006422165840352, 0.15181591524128957];2.1188020670457386e-09;False
3;380;0.0016792917909145067;[0.075, 0.001653779575262363, 0.07559002894427898];2.1313841428352416;0.036673552219177064;433.55285670546846;[];[0.18578030183979993, 0.0040997511239986495, 0.13750476594267078];False;3;0.2683799504570655;[0.075, 0.075, 0.1662025130390284, 0.19532967213489374, 0.3, 0.29752058128435405, 0.18578030183979993];[0.005, 0.001653779575262363, 0.005, 0.003931324462085177, 9.096987869424995e-05, 0.0, 0.0040997511239986495];[0.075, 0.07559002894427898, 0.018297422074356473, 0.0, 0.06575296826256524, 0.06731051702967697, 0.13750476594267078];8.568569578380654e-10;False
4;380;0.008536400371495086;[0.075, 0.0015932867313353436, 0.07616257434228153];3.4396534236049447;-0.4630148917337368;492.4594622177664;[];[0.14185407117804275, 0.0001511326053626359, 0.11278127996653875];False;15;0.18846145777887674;[0.075, 0.075, 0.075, 0.06817578237426956, 0.058159944398557935, 0.05406547566430616, 0.048144106422846306, 0.038128268447134676, 0.028112430471423047, 0.018096592495711418, 0.00808075451999979, 0.0, 0.0019350834557118372, 0.011950921431423464, 0.021966759407135092, 0.028394411687763306, 0.03198259738284672, 0.04199843535855835, 0.05201427333426998, 0.06203011130998161, 0.07204594928569323, 0.08206178726140485, 0.09207762523711648, 0.1020934632128281, 0.11085429903983277, 0.11210930118853973, 0.12212513916425136, 0.13214097713996298, 0.14185407117804275];[0.005, 0.0, 0.0015932867313353436, 0.005, 0.0, 0.002043997089500074, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0009660117607754879, 0.0, 0.005, 0.0, 0.003208744139140055, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.004373491188780041, 0.005, 0.0, 0.005, 0.0001511326053626359];[0.075, 0.07588163490354231, 0.07616257434228153, 0.05133516609009514, 0.014896219964878547, 0.0, 0.02154272616033805, 0.05798167228555465, 0.09442061841077123, 0.13085956453598782, 0.1672985106612044, 0.19669736668497628, 0.203737456786421, 0.24017640291163758, 0.2766153490368542, 0.3, 0.2869457048379292, 0.2505067587127126, 0.21406781258749602, 0.17762886646227943, 0.14118992033706285, 0.10475097421184626, 0.06831202808662967, 0.03187308196141308, 0.0, 0.004565864163803515, 0.04100481028902011, 0.0774437564142367, 0.11278127996653875];1.7638551927679325e-09;False
5;380;0.0036235761065593927;[0.075, 0.0035685258433694822, 0.07525240751600085];4.599736661528489;1.2874918496832255;496.768984169103;[0.07250539830712993, 0.005, 0.07424279284485948];[];False;1;;[0.075, 0.075, 0.0739610755954236, 0.07250539830712993];[0.005, 0.0035685258433694822, 0.0, 0.005];[0.075, 0.07525240751600085, 0.07483193425004216, 0.07424279284485948];2.96794677835451e-11;False
6;380;0.015065446000102466;[];0;0;380;[0.075, 0.005, 0.07676326980708463];[];False;1;;[0.075, 0.075, 0.075];[0.005, 0.0, 0.005];[0.075, 0.07588163490354231, 0.07676326980708463];2.1437332850240098e-11;False
7;380;0.004099310230765354;[0.075, 0.004037032497259986, 0.07516979715227852];3.823692797457526;-0.7845747037113493;473.2693773900932;[0.0740354452600403, 0.005, 0.07349156040748829];[];False;0;;[0.075, 0.075, 0.0740354452600403];[0.005, 0.004037032497259986, 0.005];[0.075, 0.07516979715227852, 0.07349156040748829];1.5282960009687358e-11;False
8;380;0.007149793677649012;[0.075, 0.002958827753813582, 0.07640335606780867];5.108111325847561;-1.1572871233508188;433.55285670546846;[0.07410431381524069, 0.005, 0.07733456153078995];[];False;1;;[0.075, 0.075, 0.075, 0.07410431381524069];[0.005, 0.0, 0.002958827753813582, 0.005];[0.075, 0.07588163490354231, 0.07640335606780867, 0.07733456153078995];2.6537350996701038e-11;False
9;380;0.0036838589815028733;[0.075, 0.0036278928859876875, 0.0752419395046224];2.5127547886567436;0.14119626474842892;459.3721671579427;[];[0.16997005172508145, 0.00409260333216458, 0.18221197035913914];False;8;0.23373679830588984;[0.075, 0.075, 0.08465306475373513, 0.11982912591964387, 0.12918157832622162, 0.1550051870855526, 0.19018124825146135, 0.2253573094173701, 0.26053337058327886, 0.2957094317491876, 0.3, 0.2691145070849036, 0.2547889890876085, 0.23393844591899482, 0.19876238475308608, 0.16997005172508145];[0.005, 0.0036278928859876875, 0.005, 0.0, 0.0013293774368975944, 0.005, 0.0, 0.005, 0.0, 0.005, 0.004390129521526615, 0.0, 0.0020362595359566305, 0.005, 0.0, 0.00409260333216458];[0.075, 0.0752419395046224, 0.061836731744492696, 0.012987747495259355, 0.0, 0.03586123675397399, 0.08471022100320733, 0.13355920525244067, 0.182408189501674, 0.23125717375090735, 0.2372154844303111, 0.28010615800014066, 0.3, 0.271044857750626, 0.22219587350139264, 0.18221197035913914];1.2977876994653644e-09;False
