Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;1.073932124650726;2.58961387821321;[[0.23449956963250776, 0.004723084251517657, 0.08516367050407002]];4.924751778411374;-0.404299190356467;444.1743259711958;[];[0.11824481630280342, 0.011651883397082724, 0.16788975699903508];False;32;0.2523603297418939;[0.09449080518565288, 0.09447263553674923, 0.07266905685236547, 0.0508654781679817, 0.029061899483597928, 0.007258320799214159, 0.0, 0.014545257885169612, 0.03634883656955338, 0.05815241525393715, 0.07995599393832092, 0.10175957262270469, 0.12356315130708845, 0.1453667299914722, 0.16717030867585597, 0.18897388736023973, 0.2107774660446235, 0.23258104472900726, 0.254384623413391, 0.2761882020977748, 0.29799178078215854, 0.3, 0.28020464053345767, 0.2584010618490739, 0.23659748316469015, 0.23094815082980963, 0.21479390448030639, 0.19299032579592262, 0.17118674711153886, 0.1493831684271551, 0.12757958974277134, 0.10577601105838758, 0.08397243237400381, 0.062168853689620045, 0.040365275005236276, 0.018561696320852507, 0.0, 0.003241882363531261, 0.02504546104791503, 0.0468490397322988, 0.06865261841668258, 0.09045619710106634, 0.1122597757854501, 0.13406335446983386, 0.15586693315421762, 0.17767051183860139, 0.19947409052298515, 0.2212776692073689, 0.23449956963250776, 0.2174922708814872, 0.18944638000322458, 0.16140048912496197, 0.13335459824669935, 0.10530870736843673, 0.07726281649017411, 0.04921692561191149, 0.021171034733648873, 0.0, 0.006874856144613746, 0.03492074702287636, 0.06296663790113897, 0.0910125287794016, 0.11824481630280342];[0.01199, 0.012, 0.0, 0.012, 0.0, 0.012, 0.008005249833003202, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.010894739668063879, 0.0, 0.012, 0.0, 0.003109213813011371, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.010215770496875448, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.004723084251517657, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.009058454156672682, 0.012, 0.0, 0.012, 0.0, 0.011651883397082724];[0.08481509768901985, 0.0848117731609915, 0.08082233952697986, 0.0768329058929682, 0.07284347225895656, 0.06885403862494491, 0.06752597273530402, 0.06486460499093326, 0.0608751713569216, 0.056885737722909946, 0.05289630408889829, 0.04890687045488663, 0.04491743682087498, 0.04092800318686332, 0.036938569552851665, 0.03294913591884001, 0.028959702284828352, 0.024970268650816696, 0.02098083501680504, 0.016991401382793384, 0.013001967748781729, 0.012634520853567992, 0.009012534114770075, 0.00502310048075842, 0.0010336668467467655, 0.0, 0.002955766787264889, 0.0069452004212765435, 0.010934634055288198, 0.014924067689299853, 0.01891350132331151, 0.022902934957323165, 0.02689236859133482, 0.030881802225346477, 0.034871235859358134, 0.03886066949336979, 0.04225693102816803, 0.042850103127381446, 0.0468395367613931, 0.05082897039540476, 0.054818404029416415, 0.05880783766342807, 0.06279727129743973, 0.06678670493145138, 0.07077613856546303, 0.07476557219947468, 0.07875500583348632, 0.08274443946749797, 0.08516367050407002, 0.08915224501757242, 0.09572960496186077, 0.10230696490614911, 0.10888432485043746, 0.11546168479472581, 0.12203904473901415, 0.1286164046833025, 0.13519376462759083, 0.14015882408819677, 0.14177112457187918, 0.14834848451616753, 0.15492584446045587, 0.16150320440474422, 0.16788975699903508];3.116812220023244e-09;False;1.4664263406682032
1;380;2.1146774002421678;0;[];0;0;380;[];[0.1590539853391696, 0.003580629706402631, 0.1131489009719988];False;26;0.27532653351515757;[0.065280450215018, 0.06525982818113736, 0.04051338752438381, 0.015766946867630267, 0.0, 0.008979493789123282, 0.03372593444587683, 0.05847237510263037, 0.08321881575938392, 0.10796525641613747, 0.13271169707289102, 0.15745813772964457, 0.1822045783863981, 0.20695101904315166, 0.2316974596999052, 0.25644390035665876, 0.2811903410134123, 0.3, 0.2940632183298342, 0.26931677767308065, 0.2445703370163271, 0.21982389635957356, 0.19507745570282, 0.17033101504606646, 0.1455845743893129, 0.12083813373255936, 0.09609169307580581, 0.07134525241905226, 0.046598811762298714, 0.02185237110554517, 0.0, 0.002894069551208379, 0.027640510207961926, 0.05238695086471547, 0.07713339152146902, 0.10187983217822257, 0.1266262728349761, 0.15137271349172965, 0.1761191541484832, 0.20086559480523675, 0.2256120354619903, 0.25035847611874384, 0.27510491677549737, 0.2998513574322509, 0.3, 0.2754022019109955, 0.250655761254242, 0.22590932059748844, 0.2011628799407349, 0.17641643928398135, 0.1590539853391696];[0.01199, 0.012, 0.0, 0.012, 0.004354320161193455, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0028788536109150553, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0014033870606366457, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 7.207948964177332e-05, 0.012, 0.0, 0.012, 0.0, 0.012, 0.003580629706402631];[0.101617831853358, 0.10161804681304808, 0.10187599844114024, 0.10213395006923241, 0.10229830136609004, 0.10239190169732458, 0.10264985332541675, 0.10290780495350892, 0.10316575658160108, 0.10342370820969325, 0.10368165983778542, 0.10393961146587759, 0.10419756309396976, 0.10445551472206192, 0.10471346635015409, 0.10497141797824626, 0.10522936960633843, 0.10542543748643271, 0.1054873212344306, 0.10574527286252276, 0.10600322449061493, 0.1062611761187071, 0.10651912774679927, 0.10677707937489143, 0.1070350310029836, 0.10729298263107577, 0.10755093425916794, 0.1078088858872601, 0.10806683751535227, 0.10832478914344444, 0.10855257360677538, 0.10858274077153661, 0.10884069239962878, 0.10909864402772095, 0.10935659565581311, 0.10961454728390528, 0.10987249891199745, 0.11013045054008962, 0.11038840216818178, 0.11064635379627395, 0.11090430542436612, 0.11116225705245829, 0.11142020868055046, 0.11167816030864262, 0.11167970972711805, 0.11193611193673478, 0.11219406356482695, 0.11245201519291911, 0.11270996682101128, 0.11296791844910345, 0.1131489009719988];2.5956399387759812e-09;False;1.2294821781792211
2;380;2.4928128124385145;0;[];0;0;380;[0.06273221140577279, 0.012, 0.054656123892146025];[];False;1;;[0.06919549072796961, 0.06596519814467908, 0.06273221140577279];[0.01199, 0.0, 0.012];[0.028031659598457097, 0.04133834266979225, 0.054656123892146025];7.688109258411919e-11;False;0.0364164273168395
3;380;1.7279433274786542;0;[];0;0;380;[0.08281466745229094, 0.012, 0.04960305536306539];[];False;1;;[0.1009523698541893, 0.09188729891635014, 0.08281466745229094];[0.01199, 0.0, 0.012];[0.03470551300683332, 0.042151179236563315, 0.04960305536306539];7.085571994715555e-11;False;0.033562376505181485
4;380;3.6629613256655973;0;[];0;0;380;[];[0.18355900581611526, 0.008796970010053643, 0.1340252205553462];False;15;0.27532653351515757;[0.05283276985915863, 0.0001150072184855147, 0.0, 0.03009632729902956, 0.05264672353114562, 0.10540845428077675, 0.1581701850304079, 0.21093191578003903, 0.26369364652967014, 0.3, 0.2835446227206987, 0.23078289197106755, 0.1780211612214364, 0.12525943047180527, 0.07249769972217412, 0.01973596897254299, 0.0, 0.03302576177708815, 0.08578749252671929, 0.13854922327635041, 0.19131095402598156, 0.2440726847756127, 0.2968344155252438, 0.3, 0.250403853725125, 0.19764212297549388, 0.18355900581611526];[0.01199, 0.0, 2.615696267385665e-05, 0.0068711926060673325, 0.012, 0.0, 0.012, 0.0, 0.012, 0.003742571074641937, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.007511299111957741, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.011280027149273534, 0.0, 0.012, 0.008796970010053643];[0.011268465182850133, 0.004105137796070211, 0.004089510532761068, 0.0, 0.0030641640088805034, 0.010233465813831218, 0.01740276761878193, 0.024572069423732645, 0.03174137122868336, 0.03667470457025184, 0.038910673033634074, 0.04607997483858479, 0.0532492766435355, 0.060418578448486214, 0.06758788025343693, 0.07475718205838765, 0.07743891967326474, 0.08192648386333835, 0.08909578566828907, 0.0962650874732398, 0.10343438927819051, 0.11060369108314123, 0.11777299288809195, 0.11820313477627768, 0.12494229469304266, 0.13211159649799337, 0.1340252205553462];2.335295558331943e-09;False;1.1061643130303283
5;380;2.4523476498483947;2.0354671223721694;[[0.2944882189329662, 0.001449724042819766, 0.10935000183034854]];0.08822660415838508;0.45494106364065684;459.3721671579427;[];[0.18413781460400466, 0.011178535280560328, 0.16314721223978845];False;54;0.23373679830588984;[0.10816325255354792, 0.10814492732753954, 0.08615465611748542, 0.0641643849074313, 0.04217411369737718, 0.020183842487323064, 0.0, 0.001806428722731059, 0.023796699932785177, 0.04578697114283929, 0.06777724235289341, 0.08976751356294753, 0.11175778477300165, 0.13324436729317707, 0.13374805598305575, 0.15573832719310987, 0.177728598403164, 0.1997188696132181, 0.22170914082327223, 0.24369941203332635, 0.2656896832433805, 0.28767995445343464, 0.3, 0.2903297743365112, 0.26833950312645705, 0.24634923191640293, 0.2243589607063488, 0.2023686894962947, 0.18037841828624057, 0.17309931657448901, 0.15838814707618645, 0.13639787586613233, 0.11440760465607822, 0.0924173334460241, 0.07042706223596998, 0.04843679102591586, 0.02644651981586174, 0.004456248605807622, 0.0, 0.0175340226042465, 0.039524293814300615, 0.061514565024354734, 0.08350483623440885, 0.10549510744446297, 0.1205569995578448, 0.1274853786545171, 0.1494756498645712, 0.17146592107462533, 0.19345619228467945, 0.21544646349473356, 0.23743673470478768, 0.2594270059148418, 0.28141727712489595, 0.3, 0.2965924516650499, 0.27460218045499574, 0.2526119092449416, 0.23062163803488747, 0.20863136682483335, 0.18664109561477923, 0.1857866843098212, 0.16465082440472512, 0.142660553194671, 0.12067028198461688, 0.09868001077456276, 0.07668973956450864, 0.05469946835445452, 0.032709197144400404, 0.010718925934346285, 0.0, 0.011271345275707837, 0.03326161648576195, 0.05525188769581607, 0.07724215890587019, 0.09923243011592431, 0.10786963182251265, 0.12122270132597843, 0.14321297253603255, 0.16520324374608666, 0.18719351495614078, 0.2091837861661949, 0.23117405737624902, 0.2531643285863031, 0.27515459979635726, 0.2944882189329662, 0.3, 0.2903629075610955, 0.2839437955976983, 0.26652518348339904, 0.25941213152725434, 0.24268745940570255, 0.23488046745681043, 0.21884973532800606, 0.21034880338636652, 0.1950120112503096, 0.1858171393159226, 0.18413781460400466];[0.01199, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0009857606786978484, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0002748608337209083, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.005277002127595845, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.008027824318006506, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.00956824357649385, 0.0, 0.012, 0.0, 0.012, 0.0, 0.008219212197707913, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.010140514974608158, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.00046624871342235954, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.005849273525710138, 0.012, 0.0, 0.012, 0.0, 0.012, 0.007286714770863208, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.0, 0.012, 0.001449724042819766, 0.004145887361153064, 0.008860003327145956, 0.012, 0.003479446939621801, 0.0, 0.008181102793610442, 0.012, 0.004158347473157315, 0.0, 0.007502202260074928, 0.012, 0.011178535280560328];[0.05337739399624904, 0.05339611509128599, 0.07586142913562384, 0.09832674317996169, 0.12079205722429955, 0.1432573712686374, 0.16387723337801635, 0.16572268531297524, 0.1881879993573131, 0.21065331340165094, 0.2331186274459888, 0.25558394149032665, 0.27804925553466453, 0.3, 0.29948543042099757, 0.2770201163766597, 0.25455480233232186, 0.232089488287984, 0.20962417424364616, 0.1871588601993083, 0.16469354615497045, 0.1422282321106326, 0.12964204390038472, 0.11976291806629474, 0.09729760402195689, 0.07483228997761904, 0.052366975933281185, 0.02990166188894333, 0.007436347844605479, 0.0, 0.015028966199732374, 0.03749428024407023, 0.05995959428840808, 0.08242490833274593, 0.10489022237708379, 0.12735553642142164, 0.1498208504657595, 0.17228616451009734, 0.17683867882121412, 0.1947514785544352, 0.21721679259877305, 0.2396821066431109, 0.2621474206874488, 0.2846127347317866, 0.3, 0.29292195122387554, 0.2704566371795377, 0.24799132313519986, 0.225526009090862, 0.20306069504652416, 0.1805953810021863, 0.15813006695784845, 0.1356647529135106, 0.11668059845718702, 0.11319943886917275, 0.0907341248248349, 0.06826881078049704, 0.04580349673615919, 0.023338182691821335, 0.0008728686474834824, 0.0, 0.02159244539685437, 0.044057759441192224, 0.06652307348553008, 0.08898838752986793, 0.11145370157420578, 0.13391901561854364, 0.1563843296628815, 0.17884964370721934, 0.1898001242644118, 0.2013149577515572, 0.22378027179589505, 0.2462455858402329, 0.26871089988457075, 0.2911762139289086, 0.3, 0.2863584720267536, 0.26389315798241575, 0.2414278439380779, 0.21896252989374004, 0.1964972158494022, 0.17403190180506434, 0.15156658776072648, 0.12910127371638863, 0.10935000183034854, 0.17871628506781823, 0.3, 0.2192148720766104, 0.0, 0.08951842801301572, 0.3, 0.20174827189735814, 0.0, 0.10698502819226799, 0.3, 0.18428167171810586, 0.16314721223978845];8.423295495569632e-09;False;3.985814768618613
6;380;3.032922897953049;0;[];0;0;380;[];[0.177452471577392, 0.005396613335621923, 0.12408573008130666];False;5;0.27532653351515757;[0.09230015294288728, 0.0915216597025954, 0.044114412758334914, 0.0, 0.14923090056328325, 0.3, 0.2574237861150986, 0.177452471577392];[0.01199, 0.012, 0.011391038425375605, 0.010824374381615973, 0.008907454711159647, 0.006970776373654952, 0.006423870996943691, 0.005396613335621923];[0.0747663432178441, 0.07355841131571897, 0.0, 0.06844915762445188, 0.3, 0.06606244519733218, 0.0, 0.12408573008130666];2.0064695235376082e-09;False;0.9504085999742169
7;380;1.257296680085383;0;[];0;0;380;[0.02728090132568146, 0.012, 0.03640518659515941];[];False;0;;[0.027293627123670068, 0.02728090132568146];[0.01199, 0.012];[0.036390368191432945, 0.03640518659515941];4.632701801607539e-14;False;2.1943815152503704e-05
8;380;0.12579946765752437;0.46190310440192445;[[0.07608654173494259, 0.0012554403266747257, 0.17999321398058865]];3.191485182004629;1.046482483292325;433.55285670546846;[0.0684208664190004, 0.012, 0.12665955512826294];[];False;3;;[0.02670112241204314, 0.026605546519334184, 0.0, 0.07608654173494259, 0.07536051546303804, 0.07158708933652538, 0.0684208664190004];[0.01199, 0.012, 0.009216291078718887, 0.0012554403266747257, 0.0, 0.006524986095234336, 0.012];[0.10826775400746703, 0.10833444707733862, 0.1268998564362543, 0.17999321398058865, 0.1509497236748763, 0.0, 0.12665955512826294];9.447877526150206e-10;False;0.43283430294243164
9;380;1.1657182747920445;0;[];0;0;380;[0.03203147132678535, 0.012, 0.08269632309737938];[];False;1;;[0.06168680483753268, 0.04686531885196117, 0.03203147132678535];[0.01199, 0.0, 0.012];[0.07906422176410495, 0.0808795154275464, 0.08269632309737938];8.089237425158692e-11;False;0.03831645946233586
