Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;Time_s;Timed_out;Total_distance_m
0;380;0.011628999254213205;0.34496351211754417;[[0.028200254845216974, 0.0026840166738374216, 0.22780009071581497]];4.094079392473133;0.6155978195246711;450.370708338086;[0.01026684004928035, 0.01, 0.21217457303808107];[];False;1;;9.059194244475704e-11;False;0.038585416818913434
1;380;3.584066140286428e-05;10.168745939557764;[[0.0074502682021487816, 0.00987587317668519, 0.2188820732179138]];4.533569729745489;-0.5733811562469698;450.370708338086;[0.0072580467907135855, 0.01, 0.21884071482684225];[];False;0;;3.153886969966759e-11;False;0.00026836389850486353
2;380;0.04758860491475171;0;[];0;0;380;[0.23868757049229494, 0.01, 0.02003199224965599];[];False;2;;7.280391362449944e-11;False;0.034485181463663236
3;380;0.004260752797018877;0.9187177176557694;[[0.09564578558223473, 0.009516517224652176, 0.05606601306159281], [0.11608451549090146, 0.0033866806527955706, 0.33766631220205856]];3.1152801901702225;-0.563124795801902;450.370708338086;[];[];False;3;;2.8669313644132e-09;False;0.9229784704527882
4;380;0.030898473124344968;17.145300779807975;[[0.029158414678238494, 0.007997300619611715, 0.10775203777781882]];4.035654504061415;-0.6792214679155981;459.3721671579427;[0.026677906229086314, 0.01, 0.10519115003234396];[];False;0;;1.414566070539376e-10;False;0.03498771180892261
5;380;0.02111387035943636;3.8835615431089057;[[0.23800274748189193, 0.00540580002089835, 0.024723554325201673]];2.652176500215218;0.7209137865557226;511.9184981959861;[0.2432312368832124, 0.01, 0.011656235330651556];[];False;1;;8.921104608000663e-11;False;0.03591922751733797
6;380;0.011964107947987733;5.587899284138272;[[0.08709204187206869, 0.005891642261014006, 0.16217626672244334]];0.2169321887250874;-0.5404478360062629;464.8436421268753;[];[0.3003025581567799, 0.0017029133037764768, 0.3380642548030915];False;33;0.23373679830588984;9.357747672418838e-09;False;4.414918520545247
7;380;0.019079937875567957;5.274757769958272;[[0.11981655636157998, 0.005355131302141847, 0.04717087177666766]];2.7580772643116003;0.01685377437358743;436.7508539799367;[];[0.2641902846899787, 0.007788603958293519, 0.31068821742710545];False;2;0.2523603297418939;8.672278504437243e-10;False;0.40497218053712314
8;380;0.0007558404430708246;1.7507522461355205;[[0.13568135132313003, 0.009829888895121833, 0.10297792167994939], [0.045680950315266394, 0.004572875330822329, 0.556028800703331]];6.17755061959958;0.1874635248330048;473.2693773900932;[];[];False;6;;4.504521229252885e-09;False;1.751508086578591
9;380;0.013186857522269259;10.662187342606343;[[0.05025757302177253, 0.004941381074584882, 0.14237419913902216]];1.4588056365233792;0.02754681011914904;492.4594622177664;[];[0.2620955902153304, 0.003842855177387815, 0.3012115195501627];True;4;0.18846145777887674;3.0561336374322465e-09;False;1.4344641724175007
10;380;0.05353747178713365;0;[];0;0;380;[0.1543480282373332, 0.01, 0.11023140327721853];[];False;1;;4.7463957757752306e-11;False;0.022482351768915484
11;380;0.02293319931109523;1.943493557926482;[[0.018709268318986713, 0.003468151521792205, 0.21895934663184888], [0.20713424397161906, 0.004457465518143943, 0.511165539889984]];3.2589517701848543;0.12302583475412657;489.0345374100244;[];[];False;6;;4.366401395630311e-09;False;1.9664267572375773
12;380;0.011944760380154362;2.706295478942521;[[0.005126322849577039, 0.0029526423989182553, 0.22952337634691236], [0.3782052618728708, 0.009554810044300512, 0.25312862174203393]];2.2417774629779914;-0.3129263230335879;450.370708338086;[];[];False;39;;5.7532696619945815e-09;False;2.7182402393226757
