Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;0.02188988094910721;0.29568301038646644;[[0.001878199974397183, 0.003683027437482499, 0.10585314342107165]];4.094079392473133;0.6155978195246711;450.370708338086;[0.01746767546951432, 0.01, 0.08899693827666322];[];False;3;;[0.015035358916177697, 0.005445753496977504, 0.001878199974397183, 0.0, 0.0033290825796714464, 0.01746767546951432];[0.0099, 0.0, 0.003683027437482499, 0.002354606717662158, 0.0, 0.01];[0.09482783516327634, 0.10286363957098676, 0.10585314342107165, 0.1042166538157059, 0.1013159994065368, 0.08899693827666322];1.1420185315511571e-10;False;0.05096942338733375
1;380;6.746477440539158e-05;8.71606794819237;[[0.003221144460055482, 0.00985458480317212, 0.09351306571931572]];4.533569729745489;-0.5733811562469698;450.370708338086;[0.002995956111301158, 0.01, 0.09346461415649031];[];False;0;;[0.003172082622812506, 0.003221144460055482, 0.002995956111301158];[0.0099, 0.00985458480317212, 0.01];[0.09352211512863341, 0.09351306571931572, 0.09346461415649031];3.162306064985819e-11;False;0.0003398669143078077
2;380;0.08957855042776793;0;[];0;0;380;[0.10347345185057245, 0.01, 0.024620489704689018];[];False;2;;[0.10086973250672501, 0.10118754512819213, 0.1021650501702471, 0.10347345185057245];[0.0099, 0.007470985835266652, 0.0, 0.01];[0.0034230191014546405, 0.0, 0.01052827422421482, 0.024620489704689018];7.280391362449944e-11;False;0.034485181463663236
3;380;0.008020240559094356;0.7874723294192308;[[0.03476667557461337, 0.009178150069933501, 0.02299254256825243], [0.052285586924899125, 0.0018817338250217085, 0.16420720102563396]];3.1152801901702225;-0.563124795801902;450.370708338086;[];[];False;4;;[0.04265675419731097, 0.03476667557461337, 0.035278368214567646, 0.04195478477574619, 0.04863120133692474, 0.04930491114398733, 0.052285586924899125];[0.0099, 0.009178150069933501, 0.008855112806108022, 0.004640216656194781, 0.0004253205062815391, 0.0, 0.0018817338250217085];[0.024237472538915637, 0.02299254256825243, 0.0, 0.3, 0.0, 0.030272668019848643, 0.16420720102563396];2.040805532066293e-09;False;0.7954925699783252
4;380;0.05816183176347287;14.695972096978263;[[0.028488451805210792, 0.006318448225151467, 0.027677891535782116]];4.035654504061415;-0.6792214679155981;459.3721671579427;[0.02392854612344419, 0.01, 0.022970225014852304];[];False;1;;[0.024481598078087356, 0.0, 0.028488451805210792, 0.02392854612344419];[0.0099, 0.00824468513356358, 0.006318448225151467, 0.01];[0.05142962781605239, 0.04045209499228876, 0.027677891535782116, 0.022970225014852304];2.817455966607846e-10;False;0.06567905780568958
5;380;0.03974375597070373;0;[];0;0;380;[0.11284764810414474, 0.01, 0.004507687499572358];[];False;1;;[0.09622801657219293, 0.1044960744699981, 0.11284764810414474];[0.0099, 0.0, 0.01];[0.013527586502269737, 0.009040300063741895, 0.004507687499572358];5.7954491874557685e-11;False;0.0274514249225192
6;380;0.011567958980107068;2.1113131672919527;[[0.10944558561516933, 0.0020411763179851916, 0.05433029937449429]];5.54477909192125;0.7648029501815528;464.8436421268753;[0.09689792535249904, 0.01, 0.07343727741284657];[];False;1;;[0.10478770166285953, 0.10944558561516933, 0.10731855198507197, 0.09689792535249904];[0.0099, 0.0020411763179851916, 0.0, 0.01];[0.04723377329568236, 0.05433029937449429, 0.05756924464447549, 0.07343727741284657];8.530950693747848e-11;False;0.037404179968213644
7;380;0.017119086976007985;3.3670478603943454;[[0.07789208244323946, 0.0010438461614624348, 0.004565430539932863]];3.4482043141523984;0.4181620178981814;419.1114406296339;[];[0.13111168848678617, 0.008168876766881064, 0.11783946546193153];False;10;0.2683799504570655;[0.06590935266824753, 0.07140173268041465, 0.07789208244323946, 0.07657122733269685, 0.0755430341965629, 0.05303925602118946, 0.030535477845816023, 0.008031699670442587, 0.0, 0.01022377035630811, 0.01447207850493085, 0.036975856680304287, 0.05947963485567773, 0.08198341303105117, 0.09701876804531306, 0.1044871912064246, 0.12699096938179805, 0.13111168848678617];[0.0099, 0.005840711069945361, 0.0010438461614624348, 0.00045689800535766566, 0.0, 0.01, 0.0, 0.01, 0.006430955012153507, 0.0018878199542829623, 0.0, 0.01, 0.0, 0.01, 0.003318741903208261, 0.0, 0.01, 0.008168876766881064];[0.0038634403939351233, 0.0, 0.004565430539932863, 0.0, 0.003553867723407517, 0.08133638552244023, 0.15911890332147294, 0.23690142112050566, 0.26466235164977747, 0.3, 0.28531606108046165, 0.20753354328142892, 0.1297510254823962, 0.05196850768336349, 0.0, 0.025814010115669223, 0.10359652791470193, 0.11783946546193153];1.6401254733805348e-09;False;0.7748638790864385
8;380;0.0235496360112952;0.13338360760073376;[[0.05999834396962284, 0.005197555231968126, 0.0495168903656], [0.06292291515293207, 0.0029234448526198756, 0.08358714044341192]];3.076835132789507;-1.225130524950985;444.1743259711958;[];[];False;3;;[0.041929267994133546, 0.05377779905819409, 0.05999834396962284, 0.06108633258852582, 0.06187011100530109, 0.06292291515293207];[0.0099, 0.0, 0.005197555231968126, 0.0021764095280895164, 0.0, 0.0029234448526198756];[0.04911980640198661, 0.04938018837637732, 0.0495168903656, 0.0, 0.035671577128736205, 0.08358714044341192];5.925055467662221e-10;False;0.15693324361202896
9;380;0.005976012346298775;2.3270925039298693;[[0.07678185539107835, 0.004352615625927162, 0.1111266141201111]];6.170569499506451;0.57168071282787;455.86529629651864;[0.05447240212777924, 0.01, 0.2543123467349179];[];False;2;;[0.07870845571476925, 0.07678185539107835, 0.07001622622559621, 0.0588178235538721, 0.05447240212777924];[0.0099, 0.004352615625927162, 0.0, 0.007204406458316042, 0.01];[0.11001870556695251, 0.1111266141201111, 0.1822602716237524, 0.3, 0.2543123467349179];5.208693470615521e-10;False;0.24203234114301103
