Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;0.014319094995343014;2.265912143436559;[[0.1692194346189043, 0.007626401688723109, 0.15834415440714222]];4.924751778411374;-0.404299190356467;444.1743259711958;[];[0.21290539461082658, 0.00887378400119454, 0.24796058186895195];False;5;0.2523603297418939;[0.1789329903381577, 0.1692194346189043, 0.14497470076448754, 0.10290586444709361, 0.06083702812969968, 0.018768191812305754, 0.0, 0.023300644505088175, 0.0653694808224821, 0.10743831713987603, 0.14950715345726995, 0.1915759897746639, 0.21290539461082658];[0.017900000000000003, 0.007626401688723109, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.008030349355820528, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.00887378400119454];[0.1606105379830501, 0.15834415440714222, 0.16403006190803637, 0.17389610182446888, 0.18376214174090139, 0.1936281816573339, 0.19802972317330186, 0.2034942215737664, 0.2133602614901989, 0.2232263014066314, 0.23309234132306392, 0.24295838123949642, 0.24796058186895195];9.503073327859775e-10;False;0.4395045586042254
1;380;0.02819569866989557;14.217006422731629;[[0.10577255905500717, 0.0039276059949969345, 0.19269356222978157]];1.5739777634038004;0.9605249276753232;464.8436421268753;[0.1156137066255485, 0.018000000000000002, 0.19263893014973266];[];False;1;;[0.12361865416052112, 0.10898374172615158, 0.10577255905500717, 0.1156137066255485];[0.017900000000000003, 0.0, 0.0039276059949969345, 0.018000000000000002];[0.19242912037289153, 0.19264597920933088, 0.19269356222978157, 0.19263893014973266];1.3415570522211684e-10;False;0.04536786927239624
2;380;0.04582069866643872;1.9931269507859886;[[0.1998092772694529, 0.014034706495740276, 0.17417667862932712]];2.966560172624361;-0.9249614865221232;473.2693773900932;[0.2239523253000822, 0.018000000000000002, 0.05265675157084165];[];False;3;;[0.17168503230767734, 0.18744919738252885, 0.1998092772694529, 0.21038657389826698, 0.21834779654437853, 0.2239523253000822];[0.017900000000000003, 0.0, 0.014034706495740276, 0.0, 0.010563514204663437, 0.018000000000000002];[0.19116896489814758, 0.18164447077910947, 0.17417667862932712, 0.07479881741169182, 0.0, 0.05265675157084165];5.950598093288352e-10;False;0.2761737195818422
3;380;0.04009557802230531;0.049494261353045646;[[0.12772583400859056, 0.005888162354675132, 0.22569771809088646], [0.081381964132798, 0.001352770218479324, 0.24247144307939533]];5.058139014558932;0.09755326393340501;428.9659788801306;[];[];False;1;;[0.12944694967274156, 0.12815185298015286, 0.12772583400859056, 0.081381964132798];[0.017900000000000003, 0.0, 0.005888162354675132, 0.001352770218479324];[0.19346704218111063, 0.21771982346716076, 0.22569771809088646, 0.24247144307939533];2.634043831101164e-10;False;0.08958983937535095
4;380;2.2869456607377323e-05;1.376708877517115;[[0.15251459921948468, 0.017884276446335275, 0.08452454983284784], [0.2784691936970358, 0.0008933515648138208, 0.011724205493832187]];5.4513090114444696;-0.5377190278181729;455.86529629651864;[];[];False;18;;[0.1525054230489979, 0.15251459921948468, 0.15232054070276094, 0.1221360778997318, 0.09195161509670266, 0.06176715229367352, 0.03158268949064438, 0.0013982266876152484, 0.0, 0.028786236115413887, 0.05897069891844302, 0.08915516172147216, 0.1193396245245013, 0.14952408732753042, 0.17970855013055956, 0.2098930129335887, 0.23914258713601647, 0.24007747573661783, 0.270261938539647, 0.3004464013426761, 0.3306308641457052, 0.3608153269487343, 0.3909997897517634, 0.4211842525547925, 0.45136871535782164, 0.48155317816085075, 0.5, 0.48826235903612014, 0.45807789623309103, 0.4278934334300619, 0.3977089706270328, 0.3675245078240037, 0.3373400450209746, 0.3071555822179455, 0.28952127712126857, 0.2784691936970358];[0.017900000000000003, 0.017884276446335275, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.0008338091203183101, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0005575051946637814, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.0110004539511422, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.007484076830801507, 0.0008933515648138208];[0.08451070859732254, 0.08452454983284784, 0.0847304098359409, 0.11675051238490577, 0.14877061493387064, 0.1807907174828355, 0.21281082003180038, 0.24483092258076525, 0.2463141811107016, 0.2768510251297301, 0.30887112767869496, 0.3408912302276598, 0.3729113327766247, 0.40493143532558956, 0.43695153787455443, 0.4689716404235193, 0.5, 0.49900825702751583, 0.46698815447855097, 0.4349680519295861, 0.40294794938062123, 0.37092784683165636, 0.3389077442826915, 0.3068876417337266, 0.27486753918476176, 0.2428474366357969, 0.22327878865797807, 0.21082733408683205, 0.17880723153786718, 0.1467871289889023, 0.11476702643993744, 0.08274692389097257, 0.05072682134200771, 0.01870671879304285, 0.0, 0.011724205493832187];2.966405616857108e-09;False;1.3767317469737224
5;380;0.06855508855301445;0;[];0;0;380;[0.14588856878433623, 0.018000000000000002, 0.04764870332742217];[];False;1;;[0.18445285408382392, 0.1652244221378398, 0.14588856878433623];[0.017900000000000003, 0.0, 0.018000000000000002];[0.040487116689356555, 0.04405793565374025, 0.04764870332742217];1.122556846186925e-10;False;0.05317238403377079
6;380;0.01418311848966999;4.291304130899948;[[0.16512019022889443, 0.009902349077460957, 0.08436740267760019]];0.6852306551869657;0.10271501054700988;511.9184981959861;[];[0.28674436068015535, 0.005597071854260085, 0.24145364708736794];False;3;0.15546335832333966;[0.17019372954040446, 0.16512019022889443, 0.2436788457011469, 0.4183042786850082, 0.5, 0.49695326918313826, 0.4070702883311305, 0.28674436068015535];[0.017900000000000003, 0.009902349077460957, 0.018000000000000002, 0.0, 0.008421012670048793, 0.00873506288465058, 0.018000000000000002, 0.005597071854260085];[0.09492475218719737, 0.08436740267760019, 0.18099058580869304, 0.3957710589356248, 0.49625267479567853, 0.5, 0.38944846793744337, 0.24145364708736794];1.905261234256274e-09;False;0.8849081284240339
7;380;0.018485733687439138;1.7009030004287715;[[0.13430965903449488, 0.01581125579651697, 0.17407408950687278]];2.795948511750474;0.19378429057174132;464.8436421268753;[];[0.2739868993248405, 0.007222491578340116, 0.22120916470775914];False;2;0.23373679830588984;[0.116002729110493, 0.13430965903449488, 0.14546266769405802, 0.19582045709924775, 0.23718382704774987, 0.2739868993248405];[0.017900000000000003, 0.01581125579651697, 0.018000000000000002, 0.008117436198140138, 0.0, 0.007222491578340116];[0.1725855283314341, 0.17407408950687278, 0.14251134135927207, 0.0, 0.11705734910383783, 0.22120916470775914];1.2214121969082746e-09;False;0.43861661610948033
8;380;0.018974893182205722;4.960137716265885;[[0.10913349520597673, 0.009360846205780782, 0.05047160535142466]];2.9941325274090542;-0.9620250205083175;469.2708302065761;[0.12820650949360146, 0.018000000000000002, 0.17406707104977098];[];False;2;;[0.12198044990153988, 0.10913349520597673, 0.11342071051077825, 0.1156588618589055, 0.12820650949360146];[0.017900000000000003, 0.009360846205780782, 0.003210699362874393, 0.0, 0.018000000000000002];[0.06152082155914442, 0.05047160535142466, 0.0, 0.02634882634257348, 0.17406707104977098];5.632122164494618e-10;False;0.245977124402767
9;380;0.05130042155391339;0;[];0;0;380;[];[0.221012061518286, 0.006230965316902518, 0.2259982237472202];False;0;0.27532653351515757;[0.18578764157734598, 0.221012061518286];[0.017900000000000003, 0.006230965316902518];[0.19566443727901686, 0.2259982237472202];1.0118329712759622e-10;False;0.04792770317999373
