Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;Time_s;Timed_out;Total_distance_m
0;380;0.0054724702372768025;0.24640250865538868;[[0.015105175283542605, 0.011504243140629377, 0.118770005651156]];4.094079392473133;0.6155978195246711;450.370708338086;[0.022368095078334326, 0.015, 0.0861192665061114];[];False;2;;1.6961059098651725e-10;False;0.061800009352612484
1;380;1.6866193601347895e-05;7.263389956826974;[[0.0038930349951734056, 0.014888646200793032, 0.11441398037430074]];4.533569729745489;-0.5733811562469698;450.370708338086;[0.0037205937461296883, 0.015, 0.11437687788628148];[];False;0;;4.7169150454163254e-11;False;0.00022546208902309936
2;380;0.02239463760694198;0.073677043286114;[[0.1250962713265215, 0.001976962641251378, 0.014023654034876893], [0.19627723162814298, 0.009247680932457952, 0.029372431659368446]];1.3609341495950262;-0.15640373068082947;436.7508539799367;[];[];False;2;;2.8976808197806435e-10;False;0.096071680893056
3;380;0.0020999262117846157;0.05430992816793716;[[0.028787996474712193, 0.013496145002785438, 0.059929214000678487], [0.041161461821097034, 0.007762501676395183, 0.007359346327894222]];2.887773743052144;-0.4339266510742057;426.44246066289253;[];[];False;0;;1.777616098302849e-10;False;0.05640985437972177
4;380;0.03918925892527537;3.1957030851208326;[[0.08328761671563449, 0.005838830325897271, 0.08718744966243365]];0.7595740192373736;-0.3411909502526625;492.4594622177664;[];[0.14481851904900753, 0.01399059645884295, 0.15594469149604404];False;2;0.18846145777887674;3.1946440279476216e-10;False;0.13400990841489957
5;380;0.00887671209853464;4.680213591999804;[[0.10491058185232854, 0.010437014180996818, 0.126820673802111]];3.691877831304888;0.8709761212095827;433.55285670546846;[0.0834930972441799, 0.015, 0.07261863390314399];[];False;1;;1.968132472517569e-10;False;0.0724661095370521
6;380;0.012772341220887478;3.035400989026901;[[0.06366320933933461, 0.00963564229066505, 0.07038465143493808]];1.087037563634811;0.09775313126391158;444.1743259711958;[];[0.15924038384080413, 0.002345531778759447, 0.20961579423792778];False;5;0.2523603297418939;1.9827253868118993e-09;False;0.9157837494668291
7;380;0.012056589188476052;0.07505280495190471;[[0.0926538644408126, 0.0029374302197989785, 0.04982785274368607], [0.13929174507624528, 0.0019758811949447193, 0.008967615146760977]];2.4708946346527383;-0.020614419075376263;455.86529629651864;[];[];False;1;;5.157480630616307e-10;False;0.08710939414038077
8;380;0.004001719419738333;3.6798827042859843;[[0.006609167535041955, 0.012724331385686401, 0.09958697309597758]];3.155657931048317;1.3022336314796796;419.1114406296339;[0.0010208832711301014, 0.015, 0.15531790988567828];[];False;8;;4.374074418805503e-09;False;2.0484730102489355
9;380;0.024370713925957355;1.9851623357138974;[[0.07477990210760375, 0.006033983502796379, 0.10532864359632298]];2.8848097520010283;-0.47961882883707024;459.3721671579427;[];[0.13804171701279067, 0.003129839779830529, 0.16623598666039754];False;3;0.23373679830588984;6.662398262599143e-10;False;0.30514123998898457
